,tema,categoria,subcategoria,nombre,precio,colores,tallas,descripcion,imapcto
10,Hogar,Esenciales para tu hogar,Toallas de baño,Gel sólido uso diario x5,€30.00,[],[],"Gel sólido de 80 g para uso diario con olor a lavanda fabricado de forma artesanal en Valencia. Este gel sólido será un básico perfecto para tu día a día. 
Está compuesto por aceite de coco con olor a lavanda. Mezclamos el aceite de coco con glicerina para que el tacto con tu piel sea perfecto.
Tanto la pastilla de gel como el embalaje con el que lo recibirás son 100% ecológicos y sin plásticos innecesarios.
 
Cómo usar:
Aplicar sobre la piel previamente humedecida con un ligero masaje, dejar actuar y retirar con abundante agua.
No aplicar sobre heridas abiertas. Evitar el contacto directo con los ojos. Noingerir.
 
Composición:
Sodium Cocoyl Isethionate, Cocamidopropyl Betaine, Cocos NuciferaOil, Aloe barbadensis Leaf Juice, Caprylic/capric Triglyceride, Butyrospermum ParkiiButter, Aqua, Glycerin, Argania spinosa kernel Oil, Maltodextrin, Mangifera IndicaSeed Butter, Malva sylvestris Flower Extract, Salvia officinalis Leaf Extract,Lavandula officinalis Flower Oil, Citric Acid, Benzyl Alcohol, Potassium Sorbate,
 ",
11,Hogar,Esenciales para tu hogar,Toallas de baño,Gel sólido uso diario x7,€38.00,[],[],"Gel sólido de 80 g para uso diario con olor a lavanda fabricado de forma artesanal en Valencia. Este gel sólido será un básico perfecto para tu día a día. 
Está compuesto por aceite de coco con olor a lavanda. Mezclamos el aceite de coco con glicerina para que el tacto con tu piel sea perfecto.
Tanto la pastilla de gel como el embalaje con el que lo recibirás son 100% ecológicos y sin plásticos innecesarios.
 
Cómo usar:
Aplicar sobre la piel previamente humedecida con un ligero masaje, dejar actuar y retirar con abundante agua.
No aplicar sobre heridas abiertas. Evitar el contacto directo con los ojos. Noingerir.
 
Composición:
Sodium Cocoyl Isethionate, Cocamidopropyl Betaine, Cocos NuciferaOil, Aloe barbadensis Leaf Juice, Caprylic/capric Triglyceride, Butyrospermum ParkiiButter, Aqua, Glycerin, Argania spinosa kernel Oil, Maltodextrin, Mangifera IndicaSeed Butter, Malva sylvestris Flower Extract, Salvia officinalis Leaf Extract,Lavandula officinalis Flower Oil, Citric Acid, Benzyl Alcohol, Potassium Sorbate,
 ",
12,Hogar,Esenciales para tu hogar,Toallas de baño,Champú sólido uso diario x3,€20.00,[],[],"Champú sólido de 80 g para uso diario con olor a romero fabricado de forma artesanal en Valencia. Este champú sólido será un básico perfecto para tu día a día. 
Está compuesto por aceite de argán con olor a romero. Mezclamos el aceite de argán con glicerina para darle a tu cabello suavidad y brillo.
Tanto la pastilla de champú como el embalaje con el que lo recibirás son 100% ecológicos y sin plásticos innecesarios.
 
Cómo usar:
Aplicar sobre el cabello previamente humedecido con un ligero masaje, dejar actuar y retirar con abundante agua.
 
Composición:
Sodium Cocoyl Isethionate, Cocamidopropyl Betaine, Cocos Nucifera Oil, Aloe barbadensis Leaf Juice, Caprylic/capric Triglyceride, Butyrospermum Parkii Butter, Inulin, Argania spinosa kernel Oil, Camellia oleifera Seed Oil,Rosmarinus Officinalis Leaf Extract, Maltodextrin, Rosmarinus officinalis Flower Oil, Aqua, Glycerin, Citric Acid, Sodium Benzoate, Potassium Sorbate, Limonene, Linalool.
 ",
13,Hogar,Esenciales para tu hogar,Toallas de baño,Champú sólido uso diario x5,€30.00,[],[],"Champú sólido de 80 g para uso diario con olor a romero fabricado de forma artesanal en Valencia. Este champú sólido será un básico perfecto para tu día a día. 
Está compuesto por aceite de argán con olor a romero. Mezclamos el aceite de argán con glicerina para darle a tu cabello suavidad y brillo.
Tanto la pastilla de champú como el embalaje con el que lo recibirás son 100% ecológicos y sin plásticos innecesarios.
 
Cómo usar:
Aplicar sobre el cabello previamente humedecido con un ligero masaje, dejar actuar y retirar con abundante agua.
 
Composición:
Sodium Cocoyl Isethionate, Cocamidopropyl Betaine, Cocos Nucifera Oil, Aloe barbadensis Leaf Juice, Caprylic/capric Triglyceride, Butyrospermum Parkii Butter, Inulin, Argania spinosa kernel Oil, Camellia oleifera Seed Oil,Rosmarinus Officinalis Leaf Extract, Maltodextrin, Rosmarinus officinalis Flower Oil, Aqua, Glycerin, Citric Acid, Sodium Benzoate, Potassium Sorbate, Limonene, Linalool.
 ",
14,Hogar,Esenciales para tu hogar,Toallas de baño,Champú sólido uso diario x7,€38.00,[],[],"Champú sólido de 80 g para uso diario con olor a romero fabricado de forma artesanal en Valencia. Este champú sólido será un básico perfecto para tu día a día. 
Está compuesto por aceite de argán con olor a romero. Mezclamos el aceite de argán con glicerina para darle a tu cabello suavidad y brillo.
Tanto la pastilla de champú como el embalaje con el que lo recibirás son 100% ecológicos y sin plásticos innecesarios.
 
Cómo usar:
Aplicar sobre el cabello previamente humedecido con un ligero masaje, dejar actuar y retirar con abundante agua.
 
Composición:
Sodium Cocoyl Isethionate, Cocamidopropyl Betaine, Cocos Nucifera Oil, Aloe barbadensis Leaf Juice, Caprylic/capric Triglyceride, Butyrospermum Parkii Butter, Inulin, Argania spinosa kernel Oil, Camellia oleifera Seed Oil,Rosmarinus Officinalis Leaf Extract, Maltodextrin, Rosmarinus officinalis Flower Oil, Aqua, Glycerin, Citric Acid, Sodium Benzoate, Potassium Sorbate, Limonene, Linalool.
 ",
15,Hogar,Esenciales para tu hogar,Gel de ducha sólido,Gel sólido uso diario x3,€20.00,[],[],"Gel sólido de 80 g para uso diario con olor a lavanda fabricado de forma artesanal en Valencia. Este gel sólido será un básico perfecto para tu día a día. 
Está compuesto por aceite de coco con olor a lavanda. Mezclamos el aceite de coco con glicerina para que el tacto con tu piel sea perfecto.
Tanto la pastilla de gel como el embalaje con el que lo recibirás son 100% ecológicos y sin plásticos innecesarios.
 
Cómo usar:
Aplicar sobre la piel previamente humedecida con un ligero masaje, dejar actuar y retirar con abundante agua.
No aplicar sobre heridas abiertas. Evitar el contacto directo con los ojos. Noingerir.
 
Composición:
Sodium Cocoyl Isethionate, Cocamidopropyl Betaine, Cocos NuciferaOil, Aloe barbadensis Leaf Juice, Caprylic/capric Triglyceride, Butyrospermum ParkiiButter, Aqua, Glycerin, Argania spinosa kernel Oil, Maltodextrin, Mangifera IndicaSeed Butter, Malva sylvestris Flower Extract, Salvia officinalis Leaf Extract,Lavandula officinalis Flower Oil, Citric Acid, Benzyl Alcohol, Potassium Sorbate,
 ",
16,Hogar,Esenciales para tu hogar,Gel de ducha sólido,Gel sólido uso diario x5,€30.00,[],[],"Gel sólido de 80 g para uso diario con olor a lavanda fabricado de forma artesanal en Valencia. Este gel sólido será un básico perfecto para tu día a día. 
Está compuesto por aceite de coco con olor a lavanda. Mezclamos el aceite de coco con glicerina para que el tacto con tu piel sea perfecto.
Tanto la pastilla de gel como el embalaje con el que lo recibirás son 100% ecológicos y sin plásticos innecesarios.
 
Cómo usar:
Aplicar sobre la piel previamente humedecida con un ligero masaje, dejar actuar y retirar con abundante agua.
No aplicar sobre heridas abiertas. Evitar el contacto directo con los ojos. Noingerir.
 
Composición:
Sodium Cocoyl Isethionate, Cocamidopropyl Betaine, Cocos NuciferaOil, Aloe barbadensis Leaf Juice, Caprylic/capric Triglyceride, Butyrospermum ParkiiButter, Aqua, Glycerin, Argania spinosa kernel Oil, Maltodextrin, Mangifera IndicaSeed Butter, Malva sylvestris Flower Extract, Salvia officinalis Leaf Extract,Lavandula officinalis Flower Oil, Citric Acid, Benzyl Alcohol, Potassium Sorbate,
 ",
17,Hogar,Esenciales para tu hogar,Gel de ducha sólido,Gel sólido uso diario x7,€38.00,[],[],"Gel sólido de 80 g para uso diario con olor a lavanda fabricado de forma artesanal en Valencia. Este gel sólido será un básico perfecto para tu día a día. 
Está compuesto por aceite de coco con olor a lavanda. Mezclamos el aceite de coco con glicerina para que el tacto con tu piel sea perfecto.
Tanto la pastilla de gel como el embalaje con el que lo recibirás son 100% ecológicos y sin plásticos innecesarios.
 
Cómo usar:
Aplicar sobre la piel previamente humedecida con un ligero masaje, dejar actuar y retirar con abundante agua.
No aplicar sobre heridas abiertas. Evitar el contacto directo con los ojos. Noingerir.
 
Composición:
Sodium Cocoyl Isethionate, Cocamidopropyl Betaine, Cocos NuciferaOil, Aloe barbadensis Leaf Juice, Caprylic/capric Triglyceride, Butyrospermum ParkiiButter, Aqua, Glycerin, Argania spinosa kernel Oil, Maltodextrin, Mangifera IndicaSeed Butter, Malva sylvestris Flower Extract, Salvia officinalis Leaf Extract,Lavandula officinalis Flower Oil, Citric Acid, Benzyl Alcohol, Potassium Sorbate,
 ",
18,Hogar,Esenciales para tu hogar,Champú sólido,Champú sólido uso diario x3,€20.00,[],[],"Champú sólido de 80 g para uso diario con olor a romero fabricado de forma artesanal en Valencia. Este champú sólido será un básico perfecto para tu día a día. 
Está compuesto por aceite de argán con olor a romero. Mezclamos el aceite de argán con glicerina para darle a tu cabello suavidad y brillo.
Tanto la pastilla de champú como el embalaje con el que lo recibirás son 100% ecológicos y sin plásticos innecesarios.
 
Cómo usar:
Aplicar sobre el cabello previamente humedecido con un ligero masaje, dejar actuar y retirar con abundante agua.
 
Composición:
Sodium Cocoyl Isethionate, Cocamidopropyl Betaine, Cocos Nucifera Oil, Aloe barbadensis Leaf Juice, Caprylic/capric Triglyceride, Butyrospermum Parkii Butter, Inulin, Argania spinosa kernel Oil, Camellia oleifera Seed Oil,Rosmarinus Officinalis Leaf Extract, Maltodextrin, Rosmarinus officinalis Flower Oil, Aqua, Glycerin, Citric Acid, Sodium Benzoate, Potassium Sorbate, Limonene, Linalool.
 ",
19,Hogar,Esenciales para tu hogar,Champú sólido,Champú sólido uso diario x5,€30.00,[],[],"Champú sólido de 80 g para uso diario con olor a romero fabricado de forma artesanal en Valencia. Este champú sólido será un básico perfecto para tu día a día. 
Está compuesto por aceite de argán con olor a romero. Mezclamos el aceite de argán con glicerina para darle a tu cabello suavidad y brillo.
Tanto la pastilla de champú como el embalaje con el que lo recibirás son 100% ecológicos y sin plásticos innecesarios.
 
Cómo usar:
Aplicar sobre el cabello previamente humedecido con un ligero masaje, dejar actuar y retirar con abundante agua.
 
Composición:
Sodium Cocoyl Isethionate, Cocamidopropyl Betaine, Cocos Nucifera Oil, Aloe barbadensis Leaf Juice, Caprylic/capric Triglyceride, Butyrospermum Parkii Butter, Inulin, Argania spinosa kernel Oil, Camellia oleifera Seed Oil,Rosmarinus Officinalis Leaf Extract, Maltodextrin, Rosmarinus officinalis Flower Oil, Aqua, Glycerin, Citric Acid, Sodium Benzoate, Potassium Sorbate, Limonene, Linalool.
 ",
20,Hogar,Esenciales para tu hogar,Champú sólido,Champú sólido uso diario x7,€38.00,[],[],"Champú sólido de 80 g para uso diario con olor a romero fabricado de forma artesanal en Valencia. Este champú sólido será un básico perfecto para tu día a día. 
Está compuesto por aceite de argán con olor a romero. Mezclamos el aceite de argán con glicerina para darle a tu cabello suavidad y brillo.
Tanto la pastilla de champú como el embalaje con el que lo recibirás son 100% ecológicos y sin plásticos innecesarios.
 
Cómo usar:
Aplicar sobre el cabello previamente humedecido con un ligero masaje, dejar actuar y retirar con abundante agua.
 
Composición:
Sodium Cocoyl Isethionate, Cocamidopropyl Betaine, Cocos Nucifera Oil, Aloe barbadensis Leaf Juice, Caprylic/capric Triglyceride, Butyrospermum Parkii Butter, Inulin, Argania spinosa kernel Oil, Camellia oleifera Seed Oil,Rosmarinus Officinalis Leaf Extract, Maltodextrin, Rosmarinus officinalis Flower Oil, Aqua, Glycerin, Citric Acid, Sodium Benzoate, Potassium Sorbate, Limonene, Linalool.
 ",
